prolific_id,ctrlclin,ctrlhetg,D1,D2,D3,E1,E2,E3,P1,P2,P3,Q1,Q2,Q3,Q4,T1,T2,T3,T4
59a3b1a35fd74b0001abf9c1,0,0,1,-1,1,0,0,1,0,1,1,0,0,0,-1,0,1,-1,0
59a3b1a35fd74b0001abf9c1,1,0,1,-1,1,0,0,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,1
59a3b1a35fd74b0001abf9c1,0,1,1,-1,1,0,-1,1,1,1,1,1,1,0,-1,0,0,1,0
5a9e9fc46219a30001f54994,0,0,2,1,1,1,-1,2,1,0,0,2,2,1,-1,1,1,1,1
5a9e9fc46219a30001f54994,1,0,2,1,2,1,0,2,1,2,2,1,1,1,-2,1,1,2,2
5a9e9fc46219a30001f54994,0,1,2,2,1,2,-1,2,2,1,1,2,1,1,-2,1,2,2,2
5b70758cf3dd6600010aa9eb,0,0,2,-2,2,1,-2,2,2,2,2,2,2,2,-2,1,0,1,1
5b70758cf3dd6600010aa9eb,1,0,2,-2,2,2,-2,2,2,2,2,2,2,1,-2,2,1,2,2
5b70758cf3dd6600010aa9eb,0,1,1,-2,1,2,-2,2,1,2,2,2,2,2,-2,1,1,2,2
5c3a1ef5e57f0500018506c0,0,0,0,1,1,0,0,1,1,0,1,0,0,-1,-1,0,0,0,0
5c3a1ef5e57f0500018506c0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,-1,0,0,1,0
5c3a1ef5e57f0500018506c0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,-1,0,0,1,1
5cff4ed26d6326001acf7022,0,0,1,-1,1,1,-2,1,1,0,0,1,1,0,-2,1,0,0,1
5cff4ed26d6326001acf7022,1,0,1,-2,1,1,-2,2,1,1,1,1,1,1,-2,1,0,1,1
5cff4ed26d6326001acf7022,0,1,2,-1,1,1,-2,2,1,-1,0,1,1,1,-2,1,0,0,1
5d7f2c51ed58b60015490876,0,0,-2,0,-1,1,-1,1,1,0,1,1,1,-1,-1,1,1,0,0
5d7f2c51ed58b60015490876,1,0,-1,-1,-2,0,-1,1,1,0,-1,0,0,0,-1,0,-1,1,0
5d7f2c51ed58b60015490876,0,1,-1,0,0,1,-1,1,1,-1,1,0,0,1,-2,0,0,1,0
5e35373e1ddb124e6c306747,0,0,2,0,2,2,-2,2,1,1,2,2,1,1,-2,1,1,2,2
5e35373e1ddb124e6c306747,1,0,2,1,2,2,-2,2,1,2,2,1,1,2,-2,1,1,1,2
5e35373e1ddb124e6c306747,0,1,1,-1,1,2,-2,2,1,2,2,2,2,2,-2,1,1,2,2
5ea047d315537303f1e60ef9,0,0,0,0,0,1,-1,1,1,1,1,1,1,1,-1,0,0,0,0
5ea047d315537303f1e60ef9,1,0,1,0,1,0,0,1,0,0,0,1,1,0,-1,0,0,1,1
5ea047d315537303f1e60ef9,0,1,0,0,1,1,-1,1,1,1,1,1,1,1,-1,0,0,1,0
5ea06914c2b73202ae7a3f29,0,0,1,-1,1,1,-1,2,1,0,1,1,1,1,-1,0,1,-1,0
5ea06914c2b73202ae7a3f29,1,0,2,-2,1,1,0,2,0,-1,1,0,0,1,0,0,1,-1,0
5ea06914c2b73202ae7a3f29,0,1,1,-1,1,1,-1,1,1,1,2,1,1,1,-2,1,1,0,1
5f017162f1a82a2aeb59524d,0,0,1,0,2,1,-2,2,1,0,1,1,1,2,-2,1,1,2,1
5f017162f1a82a2aeb59524d,1,0,2,-1,1,1,-2,2,1,2,2,1,1,1,-2,1,0,1,2
5f017162f1a82a2aeb59524d,0,1,1,0,1,2,-2,2,1,0,1,1,1,2,-2,1,1,1,2
5f674b595c87a8334bae7,0,0,1,-1,1,2,-2,2,0,-1,-1,1,1,0,-2,1,1,0,1
5f674b595c87a8334bae7,1,0,2,-1,1,1,-1,2,-1,1,0,0,1,1,-2,0,1,1,2
5f674b595c87a8334bae7,0,1,1,0,2,2,-1,1,1,1,1,1,1,1,-2,1,1,2,2
5fb25a7e5960a87fb627c12b,0,0,0,1,2,1,0,2,1,1,1,1,1,1,-1,1,0,1,1
5fb25a7e5960a87fb627c12b,1,0,1,0,1,0,0,1,1,0,1,1,1,1,-1,1,1,1,0
5fb25a7e5960a87fb627c12b,0,1,1,0,1,0,1,0,-1,0,0,-1,0,0,1,0,0,-1,1
610729d5507a50dd1db1246f,0,0,-1,0,0,1,-1,1,0,-1,0,0,0,-1,-2,1,1,1,1
610729d5507a50dd1db1246f,1,0,0,-1,0,2,-2,2,1,0,1,1,1,0,-2,1,2,2,2
610729d5507a50dd1db1246f,0,1,0,1,1,1,-1,1,0,0,0,1,1,0,-2,1,2,1,2
612d18cff20cd023bd839bde,0,0,1,0,1,1,-2,1,0,0,0,1,1,1,-2,1,1,1,1
612d18cff20cd023bd839bde,1,0,1,-1,1,2,-2,2,1,0,1,1,1,1,-2,1,1,1,1
612d18cff20cd023bd839bde,0,1,1,0,1,2,-2,2,1,2,1,1,1,1,-2,1,1,1,0
6134d8a566bc3dffe880e879,0,0,1,0,1,2,-2,2,2,1,1,2,2,1,-2,1,1,1,2
6134d8a566bc3dffe880e879,1,0,1,1,1,2,-2,2,2,1,2,2,2,2,-2,1,1,2,2
6134d8a566bc3dffe880e879,0,1,1,-1,2,2,-2,2,2,1,2,1,1,2,-2,2,2,2,2
62a099bb01ad779df1971ea4,0,0,2,2,2,2,-2,2,2,2,2,2,2,2,-2,2,2,2,2
62a099bb01ad779df1971ea4,1,0,2,1,1,2,-2,2,2,2,2,2,2,1,-2,2,2,2,2
62a099bb01ad779df1971ea4,0,1,2,2,2,2,-2,2,2,2,2,2,2,2,-2,2,2,2,2
62a9513ae9305607fd5af01a,0,0,1,0,1,0,-1,0,0,1,1,0,0,0,-1,1,0,1,0
62a9513ae9305607fd5af01a,1,0,1,1,-1,0,-1,0,1,-1,1,-1,0,-1,-1,1,0,0,0
62a9513ae9305607fd5af01a,0,1,2,0,1,0,-1,0,0,1,1,1,1,1,-1,1,0,0,0
63378180a7bc5bc3427e8db0,0,0,1,-1,1,1,-1,1,1,0,1,1,1,1,-2,0,1,1,1
63378180a7bc5bc3427e8db0,1,0,1,-1,1,1,0,1,0,-1,-1,0,1,0,-1,0,0,1,1
63378180a7bc5bc3427e8db0,0,1,1,-1,1,1,-1,1,1,-1,0,0,1,0,-1,0,1,1,1
63d3f951dd046a4bc2b9cea9,0,0,0,1,-1,1,-1,1,1,1,1,1,1,1,-2,0,1,1,1
63d3f951dd046a4bc2b9cea9,1,0,-1,1,0,1,-1,1,1,1,1,1,1,1,-2,1,1,1,1
63d3f951dd046a4bc2b9cea9,0,1,-1,1,-1,1,-1,1,1,1,1,1,1,1,-2,0,0,1,0
6412794fafa4f3aa2564ac74,0,0,1,2,1,2,-2,2,2,1,1,2,1,2,-2,1,2,1,2
6412794fafa4f3aa2564ac74,1,0,1,1,2,2,-2,2,1,2,1,2,1,2,-2,2,1,2,2
6412794fafa4f3aa2564ac74,0,1,1,2,1,1,-2,1,1,1,2,1,2,1,-2,2,1,2,2
6489cb79dbe4b49f0e893588,0,0,2,-2,1,0,-1,1,0,1,1,1,0,1,-2,0,0,1,2
6489cb79dbe4b49f0e893588,1,0,1,-2,1,2,-2,2,2,2,2,2,2,2,-2,2,1,2,2
6489cb79dbe4b49f0e893588,0,1,2,-2,-1,2,-2,2,2,1,2,2,2,1,-2,2,0,2,1
651dca24450512351f0e0219,0,0,1,-1,1,2,-2,2,1,0,1,1,1,0,-2,1,1,1,0
651dca24450512351f0e0219,1,0,2,1,2,2,-1,1,1,2,2,1,1,1,-1,0,1,1,0
651dca24450512351f0e0219,0,1,2,0,1,2,-1,2,2,2,2,2,2,2,-1,1,1,1,1
65561aaf0bf86db2c8d124a2,0,0,1,1,2,2,-2,2,2,1,2,2,2,2,-2,2,2,2,2
65561aaf0bf86db2c8d124a2,1,0,2,1,2,2,-2,2,2,2,2,2,2,2,-2,2,2,2,2
65561aaf0bf86db2c8d124a2,0,1,2,1,2,2,-2,2,2,2,2,2,2,2,-2,2,2,2,2
65748c3df086414ca27768b6,0,0,1,0,1,1,-1,1,1,0,1,0,1,1,-1,1,0,1,0
65748c3df086414ca27768b6,1,0,1,1,2,0,-1,1,1,0,1,1,1,1,-2,0,0,1,0
65748c3df086414ca27768b6,0,1,1,1,1,1,-1,1,1,0,1,0,1,1,-2,1,0,1,0
65abea576ca74c598aef13c3,0,0,2,-2,2,2,-2,2,2,1,0,2,2,2,-2,2,2,1,2
65abea576ca74c598aef13c3,1,0,0,0,0,2,-2,2,1,1,2,1,1,1,-2,1,0,0,1
65abea576ca74c598aef13c3,0,1,1,2,2,2,-2,2,2,2,1,2,2,2,-2,2,0,2,2
65be49c47056d13e2b2fa4b6,0,0,2,1,1,1,-1,2,1,2,2,1,1,1,-2,0,1,0,1
65be49c47056d13e2b2fa4b6,1,0,1,1,1,1,-1,2,1,2,2,1,1,2,-2,0,1,0,1
65be49c47056d13e2b2fa4b6,0,1,0,1,1,1,-1,2,0,2,2,1,2,1,-2,0,1,0,1
65d0cd7a05bc38801d981ace,0,0,1,1,1,1,-1,1,2,-1,1,1,1,1,-1,1,1,1,1
65d0cd7a05bc38801d981ace,1,0,1,1,1,2,-1,1,1,1,1,1,1,1,-1,1,1,1,1
65d0cd7a05bc38801d981ace,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,1,1
65ff01d514284efb5b55cbd4,0,0,1,-1,1,1,-1,1,0,1,1,1,1,1,0,0,0,1,0
65ff01d514284efb5b55cbd4,1,0,1,1,0,1,-2,2,1,1,2,1,1,1,0,0,0,2,2
65ff01d514284efb5b55cbd4,0,1,1,-1,1,1,-1,1,1,1,1,1,1,1,0,0,0,1,0
6601e7dee24eebb7c4cb3695,0,0,1,-2,1,2,-2,2,-1,2,2,1,2,1,-2,1,1,1,0
6601e7dee24eebb7c4cb3695,1,0,1,-1,0,2,-1,2,1,0,2,2,2,2,-2,1,2,2,1
6601e7dee24eebb7c4cb3695,0,1,1,0,2,2,-2,2,1,-1,1,2,2,2,-2,1,1,2,1
66095fb7acab208107666940,0,0,1,-1,1,2,0,2,1,1,1,1,1,1,-2,1,1,1,0
66095fb7acab208107666940,1,0,2,1,-1,2,0,2,1,2,2,1,1,1,-2,1,1,1,0
66095fb7acab208107666940,0,1,1,-1,2,2,0,2,2,1,1,2,2,2,-2,1,1,1,0
66398f6666729e9c617cf032,0,0,1,-2,0,1,-2,1,1,2,2,1,1,1,-2,1,1,1,0
66398f6666729e9c617cf032,1,0,0,1,1,1,-1,1,0,-1,2,1,1,1,-2,1,1,0,0
66398f6666729e9c617cf032,0,1,1,-2,0,1,-2,1,1,2,2,1,1,1,-2,1,1,1,0
663b3cc669a891b14e3838ed,0,0,1,-1,1,1,-1,1,1,-1,1,1,1,1,-1,1,1,2,1
663b3cc669a891b14e3838ed,1,0,1,-1,1,2,-1,1,1,2,2,1,2,1,-2,2,2,1,2
663b3cc669a891b14e3838ed,0,1,2,-1,1,2,-1,2,2,2,2,2,2,2,-2,2,1,1,2
663fedaf18f07a9dcda4f0c2,0,0,1,0,2,1,0,2,2,1,1,2,1,0,-2,1,1,2,2
663fedaf18f07a9dcda4f0c2,1,0,1,0,2,1,0,2,2,1,1,1,1,0,-2,1,2,1,1
663fedaf18f07a9dcda4f0c2,0,1,1,0,1,2,0,2,2,1,1,1,2,0,-2,1,2,1,2
66417f61aaa1d435bca01069,0,0,1,-1,1,0,-1,1,0,-1,-1,0,-1,0,-1,-1,0,-1,0
66417f61aaa1d435bca01069,1,0,1,0,1,1,-2,1,0,1,1,1,1,2,-2,1,1,0,1
66417f61aaa1d435bca01069,0,1,1,1,0,1,-1,2,1,1,1,2,1,2,-2,0,0,0,1
6644bfb916a9e709abb5b8ec,0,0,1,1,1,2,0,2,1,1,1,1,1,0,-1,1,1,1,1
6644bfb916a9e709abb5b8ec,1,0,1,0,1,2,0,2,1,0,1,1,1,0,-1,1,1,1,1
6644bfb916a9e709abb5b8ec,0,1,1,1,1,2,0,1,2,1,2,1,1,1,-1,2,2,1,1
665d808947237d7a0e119004,0,0,1,0,1,1,-2,1,1,0,1,1,1,1,-1,1,1,1,1
665d808947237d7a0e119004,1,0,0,1,1,1,-2,1,1,1,1,1,1,1,-1,0,1,1,1
665d808947237d7a0e119004,0,1,0,1,1,1,-2,1,1,1,1,1,1,1,-1,0,1,1,1
66640de47db5e38fe0ea186d,0,0,1,-2,1,1,-1,1,1,1,1,0,1,0,-1,-1,-1,0,0
66640de47db5e38fe0ea186d,1,0,1,-2,1,1,-1,1,1,2,2,1,1,1,-1,0,0,1,0
66640de47db5e38fe0ea186d,0,1,0,0,0,1,-1,1,1,1,1,1,1,1,-2,0,0,1,0
66646a293a04befb31d13933,0,0,1,1,2,2,-1,2,2,1,2,2,2,1,-2,1,1,2,2
66646a293a04befb31d13933,1,0,-1,1,0,1,-1,2,2,2,2,2,2,2,-2,1,2,2,1
66646a293a04befb31d13933,0,1,1,1,0,2,-2,2,2,2,2,1,2,1,-2,1,2,2,2
66705f4bb60d970e0fa97429,0,0,-1,-1,0,1,-1,2,-1,-1,-1,-2,0,0,0,-1,-1,-1,1
66705f4bb60d970e0fa97429,1,0,-1,1,-1,1,-1,2,-1,-2,-2,-1,-1,-1,0,-1,-1,-1,1
66705f4bb60d970e0fa97429,0,1,-1,1,-1,1,-1,2,-1,-1,1,0,1,0,-1,0,1,0,1
